"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","31.000000","1.500000"
"Mammuthus","genus","5.333","0.0117","Elephantidae","Mammuthus","31.000000","1.500000"
"Primelephas korotorensis","species","11.62","3.6","Elephantidae","Primelephas","40.416698","10.433300"
"Stegotetrabelodon orbus","species","11.62","3.6","Elephantidae","Stegotetrabelodon","40.416698","10.433300"
"Anancus kenyensis","species","11.62","3.6","Gomphotheriidae","Anancus","40.416698","10.433300"
"Mammuthus","genus","11.62","3.6","Elephantidae","Mammuthus","40.416698","10.433300"
"Loxodonta africana","species","2.588","0","Elephantidae","Loxodonta","33.750000","-3.900000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","40.583302","10.550000"
"Loxodonta","genus","23.03","2.588","Elephantidae","Loxodonta","18.150000","-32.976002"
"Stegodon","genus","23.03","2.588","Elephantidae","Stegodon","18.150000","-32.976002"
"Stegolophodon","genus","23.03","2.588","Stegodontidae","Stegolophodon","18.150000","-32.976002"
"Mammuthus","genus","5.333","3.6","Elephantidae","Mammuthus","18.150000","-32.976002"
"Mammuthus","genus","5.333","3.6","Elephantidae","Mammuthus","18.150000","-32.976002"
"Anancus","genus","5.333","3.6","Gomphotheriidae","Anancus","18.150000","-32.976002"
"Anancus","genus","23.03","2.588","Gomphotheriidae","Anancus","18.150000","-32.976002"
"Mammuthus","genus","23.03","2.588","Elephantidae","Mammuthus","18.150000","-32.976002"
"Mammuthus","genus","23.03","2.588","Elephantidae","Mammuthus","18.150000","-32.976002"
"Gomphotheriidae","family","23.03","2.588","Gomphotheriidae","","18.150000","-32.976002"
"Deinotherium bozasi","species","5.333","2.588","Deinotheriidae","Deinotherium","36.066700","2.316700"
"Anancus kenyensis","species","5.333","2.588","Gomphotheriidae","Anancus","36.066700","2.316700"
"Elephas","genus","11.62","2.588","Elephantidae","Elephas","36.049999","2.900000"
"Loxodonta","genus","11.62","2.588","Elephantidae","Loxodonta","36.049999","2.900000"
"Stegotetrabelodon orbus","species","11.62","2.588","Elephantidae","Stegotetrabelodon","36.049999","2.900000"
"Deinotherium","genus","11.62","2.588","Deinotheriidae","Deinotherium","36.066700","2.883300"
"Gomphotheriidae","family","11.62","2.588","Gomphotheriidae","","36.066700","2.883300"
"Stegotetrabelodon orbus","species","11.62","2.588","Elephantidae","Stegotetrabelodon","36.066700","2.883300"
"Anancinae","subfamily","11.62","2.588","Gomphotheriidae","","36.066700","2.883300"
"Anancus kenyensis","species","11.608","2.588","Gomphotheriidae","Anancus","36.049999","2.900000"
"Stegotetrabelodon orbus","species","11.608","2.588","Elephantidae","Stegotetrabelodon","36.049999","2.900000"
"Primelephas korotorensis","species","11.608","2.588","Elephantidae","Primelephas","36.049999","2.900000"
"Elephantidae","family","11.608","2.588","Elephantidae","","36.049999","2.900000"
"Deinotherium bozasi","species","11.608","2.588","Deinotheriidae","Deinotherium","36.049999","2.900000"
"Anancus","genus","3.6","0.0117","Gomphotheriidae","Anancus","36.183300","2.516700"
"Deinotherium bozasi","species","7.246","0.781","Deinotheriidae","Deinotherium","35.833302","0.666700"
"Loxodonta","genus","7.246","0.781","Elephantidae","Loxodonta","35.833302","0.666700"
"Primelephas korotorensis","species","7.246","0.781","Elephantidae","Primelephas","35.833302","0.666700"
"Loxodonta","genus","7.246","0.781","Elephantidae","Loxodonta","35.833302","0.666700"
"Palaeoloxodon recki","species","7.246","0.781","Elephantidae","Elephas","35.833302","0.666700"
"Anancus kenyensis","species","7.246","0.781","Gomphotheriidae","Anancus","35.833302","0.666700"
"Deinotherium bozasi","species","2.588","0.0117","Deinotheriidae","Deinotherium","36.200001","0.650000"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","36.200001","0.650000"
"Deinotherium bozasi","species","5.333","0.781","Deinotheriidae","Deinotherium","36.200001","0.650000"
"Palaeoloxodon recki","species","5.333","0.781","Elephantidae","Elephas","36.200001","0.650000"
"Deinotherium bozasi","species","2.588","0.0117","Deinotheriidae","Deinotherium","36.200001","0.650000"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","36.200001","0.650000"
"Elephas","genus","2.588","0.0117","Elephantidae","Elephas","36.000000","0.500000"
"Deinotherium","genus","15.97","13.82","Deinotheriidae","Deinotherium","35.816700","0.841700"
"Proboscidea","order","15.97","13.82","","","35.816700","0.841700"
"Protanancus","genus","15.97","13.82","Gomphotheriidae","Protanancus","35.816700","0.841700"
"Primelephas korotorensis","species","7.246","5.333","Elephantidae","Primelephas","35.666698","0.500000"
"Stegotetrabelodon orbus","species","7.246","5.333","Elephantidae","Stegotetrabelodon","35.666698","0.500000"
"Loxodonta","genus","7.246","5.333","Elephantidae","Loxodonta","35.666698","0.500000"
"Deinotheriidae","family","7.246","5.333","Deinotheriidae","","35.666698","0.500000"
"Anancus kenyensis","species","7.246","5.333","Gomphotheriidae","Anancus","35.666698","0.500000"
"Anancus","genus","7.246","5.333","Gomphotheriidae","Anancus","35.666698","0.500000"
"Primelephas","genus","7.246","5.333","Elephantidae","Primelephas","35.666698","0.500000"
"Stegotetrabelodon","genus","7.246","5.333","Elephantidae","Stegotetrabelodon","35.666698","0.500000"
"Loxodonta","genus","2.588","0.0117","Elephantidae","Loxodonta","36.000000","0.500000"
"Deinotherium bozasi","species","5.333","3.6","Deinotheriidae","Deinotherium","35.833302","0.666700"
"Primelephas korotorensis","species","5.333","3.6","Elephantidae","Primelephas","35.833302","0.666700"
"Anancus kenyensis","species","5.333","3.6","Gomphotheriidae","Anancus","35.833302","0.666700"
"Deinotherium bozasi","species","5.333","3.6","Deinotheriidae","Deinotherium","35.833302","0.666700"
"Primelephas korotorensis","species","5.333","3.6","Elephantidae","Primelephas","35.833302","0.666700"
"Anancus kenyensis","species","5.333","3.6","Gomphotheriidae","Anancus","35.833302","0.666700"
"Proboscidea","order","13.82","11.62","","","35.849998","0.900000"
"Gomphotheriidae","family","13.82","11.62","Gomphotheriidae","","35.849998","0.900000"
"Gomphotheriidae","family","13.82","11.62","Gomphotheriidae","","35.849998","0.900000"
"Prodeinotherium hobleyi","species","15.97","11.62","Deinotheriidae","Prodeinotherium","35.816700","0.841700"
"Zygolophodon","genus","15.97","11.62","Mammutidae","Zygolophodon","35.816700","0.841700"
"Afrochoerodon kisumuensis","species","15.97","11.62","Gomphotheriidae","Afrochoerodon","35.816700","0.841700"
"Anancus kenyensis","species","11.62","5.333","Gomphotheriidae","Anancus","35.833302","0.833300"
"Stegotetrabelodon","genus","11.62","5.333","Elephantidae","Stegotetrabelodon","35.833302","0.833300"
"Deinotherium","genus","7.246","5.333","Deinotheriidae","Deinotherium","35.666698","0.500000"
"Anancus","genus","7.246","5.333","Gomphotheriidae","Anancus","35.666698","0.500000"
"Primelephas","genus","7.246","5.333","Elephantidae","Primelephas","35.666698","0.500000"
"Stegotetrabelodon","genus","7.246","5.333","Elephantidae","Stegotetrabelodon","35.666698","0.500000"
"Deinotherium bozasi","species","5.333","2.588","Deinotheriidae","Deinotherium","35.833302","3.083300"
