Species	Status	min_age	max_age
Rhynchotherium	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Mammutidae	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Mammuthus	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Mammut_americanum	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Rhynchotherium	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Mammut_americanum	extinct	1.8	4.9
Stegomastodon_primitivus	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_primitivus	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Mammut	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Stegomastodon_primitivus	extinct	1.8	4.9
Mammut	extinct	1.8	4.9
Stegomastodon_primitivus	extinct	1.8	4.9
Cuvieronius	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Rhynchotherium_falconeri	extinct	1.8	4.9
Mammutidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Stegomastodon_primitivus	extinct	1.8	4.9
Mammut_raki	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Cuvieronius	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Mammut_americanum	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	0.3	1.8
Stegomastodon	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	0.3	4.9
Dibelodon_praecursor	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Mammut_americanum	extinct	1.8	4.9
Dibelodon_praecursor	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Rhynchotherium_falconeri	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Mammut_americanum	extinct	0.3	1.8
Mammut_americanum	extinct	0.3	1.8
Stegomastodon	extinct	0.3	1.8
Proboscidea	extinct	0.3	1.8
Mammuthus	extinct	0.3	1.8
Mammut	extinct	0.3	1.8
Elephantidae	extinct	0.3	1.8
