Species	Status
Cretacallis_polysensoria	extinct
Cretaceometra_brasiliensis	extinct
Cretaceomira_phalanx	extinct
Cretacoris_gurvanicus	extinct
Cretacoris_scutellinus	extinct
Cretamiris_zherikhini	extinct
Cretamyzus_pikei	extinct
Cretargus_emeljanovi	extinct
Cretocercopis_yii	extinct
Cretocixius_stigmatosus	extinct
Cretofennahia_cretacea	extinct
Cretogerris_albianus	extinct
Cretopiesma_suukyiae	extinct
Cretorthezia	extinct
Cretorthezia_hammanaica	extinct
Cricocossus_paradoxus	extinct
Cristocorixa_dalaziensis	extinct
Cristocorixa_diaprepocoroides	extinct
Cristocorixa_gurvanica	extinct
Cristocorixa_similis	extinct
Crocistethus_madens	extinct
Crosbella_alata	extinct
Crosbella_elongata	extinct
Crypsacorixa_tachis	extinct
Cryptochromus_letatus	extinct
Ctereacoris_primigenus	extinct
Cuanoma_protracta	extinct
Cuneocoris_geinitzi	extinct
Curticerus_venustus	extinct
Curvicaudus_ciliatus	extinct
Curvicaudus_spinosus	extinct
Curvicubitus_triassicus	extinct
Cutitegmena_oonis	extinct
Cyamophila_longifurca	extinct
Cycloscytina	extinct
Cycloscytina_asiatica	extinct
Cycloscytina_delutinervis	extinct
Cycloscytina_extensa	extinct
Cycloscytina_fulgoroides	extinct
Cycloscytina_gobiensis	extinct
Cycloscytina_korlaensis	extinct
Cycloscytina_plachutai	extinct
Cydamus_robustus	extinct
Cydnavites	extinct
Cydnavites_infidis	extinct
Cydnidae	extinct
Cydnopsis_coleopteroides	extinct
Cydnopsis_dangeardi	extinct
Cydnopsis_deleta	extinct
Cydnopsis_exilis	extinct
Cydnopsis_haidingeri	extinct
Cydnopsis_handlirschi	extinct
Cydnopsis_meunieri	extinct
Cydnopsis_nana	extinct
Cydnopsis_pygmaea	extinct
Cydnopsis_scutellaris	extinct
Cydnus	extinct
Cydnus_acriscutatus	extinct
Cydnus_archaicus	extinct
Cydnus_armiger	extinct
Cydnus_atavinus	extinct
Cydnus_brevicollis	extinct
Cydnus_brevicrassus	extinct
Cydnus_cinctus	extinct
Cydnus_cristatus	extinct
Cydnus_dignus	extinct
Cydnus_heeri	extinct
Cydnus_maximus	extinct
Cydnus_meunieri	extinct
Cydnus_oeningensis	extinct
Cydnus_parvus	extinct
Cydnus_picatus	extinct
Cydnus_pygmaeus	extinct
Cydnus_sagittifer	extinct
Cydnus_solutus	extinct
Cydnus_tertiarius	extinct
Cylapinae	extinct
Cylapopsallops_kerzhneri	extinct
Cylindrobates_messelensis	extinct
Cylindrostethus_gaudanti	extinct
Cyllonium_boisduvalianum	extinct
Cyllonium_hewitsonianum	extinct
Cymocoris_basalis	extinct
Cymocoris_humeralis	extinct
Cyrtomenus_concinnus	extinct
Cysteochila_copal	extinct
Cysteochila_impressa	extant
Daclera	extinct
Daclera_naturalis	extinct
Daenerys	extinct
Daenerys_khaleesi	extinct
Dallasiellus_(Dallasiellus)_succineus	extinct
Daniavelia_morsensis	extinct
Danzigia_christelae	extinct
Daoaphis_magnalata	extinct
Daohugocorixa_vulcanica	extinct
Daohugoucossus_lii	extinct
Daohugoucossus_parallelivenius	extinct
Daohugoucossus_shii	extinct
Daohugoucossus_solutus	extinct
Darniopsis_tragopea	extinct
Dataiphis_coniferis	extinct
Davispia_bearcreekensis	extinct
Dawsonites_veter	extinct
Dellashara_tega	extinct
Delphacidae	extinct
Delphax_rhenana	extinct
Delphax_senilis	extinct
Delphax_veterum	extinct
Deltocephalinae	extinct
Deltocephalus_aberrans	extinct
Deltocephalus_maculipennis	extinct
Deltocephalus_maculosus	extinct
Deltocephalus_minutulus	extinct
Deltocephalus_nervosus	extinct
Deltocephalus_ocellaris	extant
Deltocephalus_pennatus	extinct
Deltocephalus_robustus	extinct
Deltocephalus_rottensis	extinct
Deltocephalus_spinitibialis	extinct
Deraeocoris_balticus	extinct
Deraiocoris_insculptus	extinct
Derephysia_penalveri	extinct
Derephysia_tyche	extinct
Deryeuma_primordialis	extinct
Detyopsis_packardi	extinct
Detyopsis_scudderi	extinct
Diacorixa_germanica	extinct
Diacorixa_miocaenica	extinct
Diapherinus_fontinalis	extinct
Diapherinus_ornatipennis	extinct
Diaplegma_abductum	extinct
Diaplegma_haldemani	extinct
Diaplegma_obdormitum	extinct
Diaplegma_occultorum	extinct
Diaplegma_ruinosum	extinct
Diaplegma_venerabile	extinct
Diaplegma_veterascens	extinct
Diaspididae	extinct
Diatomyzus_eocaenicus	extinct
Diclidophlebia_subita	extinct
Dictyla_novaki	extinct
Dictyla_veterana	extinct
Dictyla_wollastoni	extinct
Dictyonota_petrifacta	extinct
Dictyophara	extinct
Dictyophara_bouvei	extinct
Dictyophara_scudderi	extinct
Dictyophorites_tingitinus	extinct
Dictyoprosbole_membranosa	extinct
Dicyphus_rubusensis	extinct
Dilaropsis_ornatus	extinct
Dimeropterum_westwoodi	extinct
Dinaphis_multisensoriata	extinct
Dinidorini	extinct
Dinidorites_margiformis	extinct
Diniella_fasciata	extinct
Dinoscyta_microcephala	extinct
Diphleps_yenli	extinct
Diphtheropsis	extinct
Diphtheropsis_incerta	extinct
Discocoris_dominicanus	extinct
Disivicia_tianshanensis	extinct
Disphaerocephalus_constrictus	extinct
Disphaerocephalus_macropterus	extinct
Disphaerocephalus_swinhoei	extinct
Docimus_psylloides	extinct
Dominicaphis_succini	extinct
Dominicicada_youngi	extinct
Dongbeiaphis_furvis	extinct
Doryderes_laticollis	extinct
Doryscarta_xialiaoensis	extinct
Dracaphis_angustata	extinct
Draycotia_cordovae	extinct
Drepanochaitophorus_fushunensis	extinct
Drepanosiphinae	extinct
Drymus_punctatus	extinct
Dubiaphis_curvata	extinct
Duncanovelia_extensa	extinct
Dunstania_petrophila	extinct
Dunstania_pulchra	extinct
Dunstaniidae	extinct
Dunstaniodes_elongatus	extinct
Dunstaniopsis_triassica	extinct
Duraznoscarta_ramosa	extinct
Dysdercus_cinctus	extinct
Dysdercus_unicolor	extinct
Dysimia_imprudens	extinct
Dysmorphoptila_liasina	extinct
Dysmorphoptila_notodon	extinct
Dysmorphoptiloides_ellisi	extinct
Dysmorphoptiloides_elongata	extinct
Dysmorphoscartella_lobata	extinct
