Species	Status	min_age	max_age
Eotettigarcta_scotica	extinct	56	59.2
Eocercopidium_maculata	extinct	56	59.2
Maleojassus_primitivus	extinct	56	59.2
Lithocicada_perita	extinct	33.9	37.2
Siphonophoroides_gillettei	extinct	33.9	37.2
Florissantia_elegans	extinct	33.9	37.2
Teleoschistus_rigoratus	extinct	33.9	37.2
Siphonophoroides_antiqua	extinct	33.9	37.2
Permopsylla_americana	extinct	279.3	290.1
Permopsylla_minuta	extinct	279.3	290.1
Archescytina_permiana	extinct	279.3	290.1
Archescytina_kansasensis	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Permopsylla_permiana	extinct	279.3	290.1
Permopsylla_grandis	extinct	279.3	290.1
Permopsylla_minuta	extinct	279.3	290.1
Qiyangiricania_cesta	extinct	170.3	182.7
Homoptera	extinct	112.03	122.46
Shuraboprosbole_rotruda	extinct	189.6	196.5
Mesocixiella_fennahi	extinct	189.6	196.5
Neomeridium_trifurcum	extinct	189.6	196.5
Archicercopis	extinct	201.3	208.5
Hemiptera	extinct	201.3	208.5
Cicadocoris_anglicus	extinct	190.8	201.3
Britannicola_senilis	extinct	199.3	201.3
Pterocimex_jacksoni	extinct	189.6	196.5
Pterocimex_jacksoni	extinct	189.6	196.5
Pterocimex_jacksoni	extinct	189.6	196.5
Neomeridium_trifurcum	extinct	189.6	196.5
Pachymeridiidae	extinct	189.6	196.5
Pachymeridiidae	extinct	189.6	196.5
Pachymeridiidae	extinct	189.6	196.5
Liassocorixa_dorsetica	extinct	189.6	196.5
Lethonectes_naucoroides	extinct	189.6	196.5
Pachymeridiidae	extinct	199.3	201.3
Pachymeridiidae	extinct	201.3	208.5
Protocoris_indistinctus	extinct	196.5	201.3
Propreocoris_maculatus	extinct	189.6	196.5
Liassocorixa_dorsetica	extinct	189.6	196.5
Tarsabedus_menkei	extinct	189.6	196.5
Cycloscytina_asiatica	extinct	182.7	190.8
Eofulgoridium_kisylkiense	extinct	182.7	190.8
Eofulgoridium_proximum	extinct	182.7	190.8
Procercopina_asiatica	extinct	182.7	190.8
Cicadellopsis_incerta	extinct	182.7	190.8
Kisylia_psylloides	extinct	182.7	190.8
Cycloscytina_extensa	extinct	182.7	190.8
Cycloscytina_extensa	extinct	182.7	190.8
Cycloscytina_extensa	extinct	182.7	190.8
Cycloscytina_extensa	extinct	182.7	190.8
Mesaleuropsis_venosa	extinct	182.7	190.8
Cycloscytina_extensa	extinct	182.7	190.8
Palaeontinodes_shabarovi	extinct	182.7	190.8
Palaeontinopsis_latipennis	extinct	182.7	190.8
Palaeontinopsis_maximus	extinct	174.1	182.7
Palaeontinidae	extinct	174.1	182.7
