"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"598701","occ","","","63458","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598705","occ","","","63459","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598706","occ","","","63461","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598707","occ","","","63462","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598708","occ","","","63463","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598709","occ","","","63464","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598710","occ","","","63465","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598711","occ","","","63466","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598712","occ","","","63467","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598714","occ","","","63468","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598715","occ","","","63469","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
