"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"159434","159434","txn","","species","Stegotetrabelodon orbus","43259","5361","extinct","12","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon",""
"159710","159710","txn","","species","Stegodibelodon schneideri","43268","31390","extinct","3","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodibelodon",""
"170135","170135","txn","","species","Stegolophodon sahabianus","43272","33257","extinct","0","Chordata","Mammalia","Proboscidea","Stegodontidae","Stegolophodon",""
"86197","86197","txn","","species","Moeritherium gracile","43238","36316","extinct","2","Chordata","Mammalia","Proboscidea","Moeritheriidae","Moeritherium",""
"86190","86190","txn","","species","Moeritherium lyonsi","43238","11955","extinct","17","Chordata","Mammalia","Proboscidea","Moeritheriidae","Moeritherium",""
"86198","86198","txn","","species","Moeritherium trigonodon","43238","11955","extinct","2","Chordata","Mammalia","Proboscidea","Moeritheriidae","Moeritherium",""
"77214","77214","txn","","species","Moeritherium chehbeurameuri","43238","17106","extinct","1","Chordata","Mammalia","Proboscidea","Moeritheriidae","Moeritherium",""
"96590","104727","txn","","species","Prodeinotherium bavaricum","43281","24841","extinct","18","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium",""
"157872","157872","txn","","species","Prodeinotherium orlovii","43281","3107","extinct","0","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium",""
"104731","104732","txn","","species","Prodeinotherium pentapotamiae","43281","24841","extinct","14","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium",""
"104729","104730","txn","","species","Prodeinotherium hobleyi","43281","24841","extinct","14","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium",""
"100793","100793","txn","","species","Chilgatherium harrisi","100792","24375","extinct","1","Chordata","Mammalia","Proboscidea","Deinotheriidae","Chilgatherium",""
"90204","90204","txn","","species","Deinotherium giganteum","43280","24834","extinct","30","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium",""
"157874","157874","txn","","species","Deinotherium indicum","43280","3107","extinct","1","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium",""
"157873","157873","txn","","species","Deinotherium bozasi","43280","3107","extinct","67","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium",""
"98255","98255","txn","","species","Daouitherium rebouli","98254","23857","extinct","1","Chordata","Mammalia","Proboscidea","Numidotheriidae","Daouitherium",""
"157871","157871","txn","","species","Numidotherium savagei","98252","59616","extinct","1","Chordata","Mammalia","Proboscidea","Numidotheriidae","Numidotherium",""
"157870","157870","txn","","species","Numidotherium koholense","98252","3107","extinct","1","Chordata","Mammalia","Proboscidea","Numidotheriidae","Numidotherium",""
"98251","98251","txn","","species","Phosphatherium escuilliei","98250","23856","extinct","1","Chordata","Mammalia","Proboscidea","Numidotheriidae","Phosphatherium",""
"157502","157502","txn","","species","Eritherium azzouzorum","157501","31170","extinct","1","Chordata","Mammalia","Proboscidea","","Eritherium",""
"86206","86206","txn","","species","Barytherium grave","43284","11955","extinct","4","Chordata","Mammalia","Proboscidea","Barytheriidae","Barytherium",""
"344050","344050","txn","","species","Omanitherium dhofarensis","344048","59578","extinct","1","Chordata","Mammalia","Proboscidea","Barytheriidae","Omanitherium",""
"148962","148962","txn","","species","Ashokia antiqua","148961","30236","extant","1","Chordata","Mammalia","Sirenia","Protosirenidae","Ashokia",""
"53313","53313","txn","","species","Protosiren sattaensis","36896","8327","extinct","2","Chordata","Mammalia","Sirenia","Protosirenidae","Protosiren",""
"64965","64967","txn","","species","Protosiren minima","36896","29834","extinct","1","Chordata","Mammalia","Sirenia","Protosirenidae","Protosiren",""
"53110","53110","txn","","species","Protosiren fraasi","36896","16582","extinct","3","Chordata","Mammalia","Sirenia","Protosirenidae","Protosiren",""
"64801","64801","txn","","species","Protosiren smithae","36896","12837","extinct","4","Chordata","Mammalia","Sirenia","Protosirenidae","Protosiren",""
"64856","64856","txn","","species","Protosiren eothene","36896","12829","extinct","1","Chordata","Mammalia","Sirenia","Protosirenidae","Protosiren",""
"64971","64972","txn","","species","Miosiren canhami","36891","18780","extinct","1","Chordata","Mammalia","Sirenia","Trichechidae","Miosiren",""
"64970","64970","txn","","species","Miosiren kocki","36891","18787","extinct","1","Chordata","Mammalia","Sirenia","Trichechidae","Miosiren",""
"64969","64969","txn","","species","Anomotherium langewieschei","36875","18813","extinct","4","Chordata","Mammalia","Sirenia","Trichechidae","Anomotherium",""
"64976","64977","txn","","species","Trichechus inunguis","36903","12966","","1","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",""
"53129","53129","txn","","species","Trichechus manatus","36903","12782","extant","4","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",""
"89184","89184","txn","","species","Trichechus divergens","36903","24920","extant","0","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",""
"64979","64979","txn","","species","Trichechus senegalensis","36903","12966","extant","0","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",""
"86739","86739","txn","","species","Manatus renggeri","36903","12966","extinct","0","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",""
"64975","64975","txn","","species","Ribodon limbatus","36898","16574","extinct","2","Chordata","Mammalia","Sirenia","Trichechidae","Ribodon",""
"64974","64974","txn","","species","Potamosiren magdalenensis","36893","18747","extinct","4","Chordata","Mammalia","Sirenia","Trichechidae","Potamosiren",""
"65060","65060","txn","","species","Prohalicore dubaleni","36894","18781","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Prohalicore",""
"299759","299759","txn","","species","Priscosiren atlantica","299758","51981","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Priscosiren",""
"65038","65039","txn","","species","Prototherium veronense","86900","36621","extinct","7","Chordata","Mammalia","Sirenia","Dugongidae","Prototherium",""
"336957","336957","txn","","species","Prototherium ausetanum","86900","58204","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Prototherium",""
"53108","53108","txn","","species","Prototherium intermedium","86900","4355","extinct","3","Chordata","Mammalia","Sirenia","Dugongidae","Prototherium",""
"64983","64983","txn","","species","Caribosiren turneri","36877","10903","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Caribosiren",""
"124902","124902","txn","","species","Nanosiren garciae","124901","27454","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Nanosiren",""
"124903","124903","txn","","species","Nanosiren sanchezi","124901","27454","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Nanosiren",""
"71842","71841","txn","","species","Bharatisiren kachchhensis","36876","16724","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Bharatisiren",""
"81866","81866","txn","","species","Bharatisiren indica","36876","17794","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Bharatisiren",""
"170320","170320","txn","","species","Kutchisiren cylindrica","170319","33335","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Kutchisiren",""
"65053","65053","txn","","species","Xenosiren yucateca","36904","16571","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Xenosiren",""
"166361","166361","txn","","species","Domningia sodhae","166360","32532","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Domningia",""
"313795","313795","txn","","species","Callistosiren boriquensis","313794","54185","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Callistosiren",""
"65050","65051","txn","","species","Dugong dugon","53124","18770","extant","11","Chordata","Mammalia","Sirenia","Dugongidae","Dugong",""
"213626","213626","txn","","species","Rytiodus heali","36899","39344","extinct","0","Chordata","Mammalia","Sirenia","Dugongidae","Rytiodus",""
"65052","65052","txn","","species","Rytiodus capgrandi","36899","12966","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Rytiodus",""
"65048","65048","txn","","species","Corystosiren varguezi","65047","16570","extinct","4","Chordata","Mammalia","Sirenia","Dugongidae","Corystosiren",""
"65049","53131","txn","","species","Dioplotherium allisoni","36878","18765","extinct","10","Chordata","Mammalia","Sirenia","Dugongidae","Dioplotherium",""
