"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=primates&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:25:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.117"
"Records Found","2898"
"Records Returned","2898"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"165782","occ","","","14951","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","1534"
"165783","occ","","","14951","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1534"
"165796","occ","","","14952","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","3716"
"165797","occ","","","14952","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","Tiffanian","","61.7","56.8","3716"
"165798","occ","","","14952","Nannodectes gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","3716"
"165800","occ","","","14952","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","3716"
"165807","occ","","","14953","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","2363"
"165808","occ","","","14953","Elphidotarsius russelli","species","46064","","Elphidotarsius russelli","species","46064","Tiffanian","","61.7","56.8","1536"
"165809","occ","","","14953","Elphidotarsius wightoni","species","46066","","Elphidotarsius wightoni","species","46066","Tiffanian","","61.7","56.8","2363"
"165810","occ","","","14953","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","3871"
"165811","occ","","","14953","Picrodus silberlingi","species","50355","","Picrodus silberlingi","species","50355","Tiffanian","","61.7","56.8","1536"
"165825","occ","","","14954","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1536"
"165826","occ","","","14954","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1536"
"165827","occ","","","14954","Nannodectes simpsoni","species","48975","","Nannodectes simpsoni","species","50865","Tiffanian","","61.7","56.8","1536"
"165828","occ","","","14954","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1536"
"165829","occ","","","14954","Elphidotarsius wightoni","species","46066","","Elphidotarsius wightoni","species","46066","Tiffanian","","61.7","56.8","1536"
"165831","occ","504","","14954","Saxonella naylori","species","51402","","Saxonella naylori","species","51402","Tiffanian","","61.7","56.8","1538"
"165842","occ","","","14955","Plesiadapis anceps","species","50429","","Plesiadapis anceps","species","50429","Tiffanian","","61.7","56.8","1635"
"165851","occ","506","","14956","Nannodectes aff. gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","1635"
"165852","occ","507","","14956","Chiromyoides potior","species","45060","","Chiromyoides potior","species","45060","Tiffanian","","61.7","56.8","1635"
"165853","occ","508","","14956","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","6294"
"165854","occ","","","14956","Navajovius kohlhaasae","species","49006","","Navajovius kohlhaasae","species","49006","Tiffanian","","61.7","56.8","3024"
"165887","occ","","","14959","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1534"
"165888","occ","","","14959","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1534"
"165914","occ","516","","14962","Plesiadapis cf. churchilli","species","50430","","Plesiadapis churchilli","species","50430","Tiffanian","","61.7","56.8","2083"
"165915","occ","","","14962","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1929"
"165916","occ","10013","","14962","Carpodaptes cf. hobackensis","species","44941","","Carpodaptes hobackensis","species","44941","Tiffanian","","61.7","56.8","7175"
"165917","occ","10015","","14962","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","7175"
"165932","occ","522","","14964","Carpodaptes rosei","species","44944","","Carpodaptes rosei","species","44944","Tiffanian","","61.7","56.8","1039"
"165933","occ","","","14964","Pronothodectes n. sp. simpsoni","species","50865","recombined as","Nannodectes simpsoni","species","50865","Tiffanian","","61.7","56.8","1609"
"165934","occ","524","","14964","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1635"
"165951","occ","530","","14965","Torrejonia sirokyi","species","52402","","Torrejonia sirokyi","species","50458","Tiffanian","","61.7","56.8","1730"
"165952","occ","19480","","14965","Nannodectes cf. intermedius","species","48974","","Nannodectes intermedius","species","50862","Tiffanian","","61.7","56.8","1671"
"165967","occ","","","14967","n. gen. Zanycteris n. sp. paleocenus","species","52737","","Zanycteris paleocenus","species","52737","Tiffanian","","61.7","56.8","3137"
"165968","occ","533","","14967","Nannodectes gidleyi","species","48973","","Nannodectes gidleyi","species","49222","Tiffanian","","61.7","56.8","6294"
"165969","occ","","","14967","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","Tiffanian","","61.7","56.8","1632"
"165971","occ","","","14967","Carpodaptes n. sp. aulacodon","species","44937","","Carpodaptes aulacodon","species","44937","Tiffanian","","61.7","56.8","3137"
"165972","occ","","","14967","Navajovius n. sp. kohlhaasae","species","49006","","Navajovius kohlhaasae","species","49006","Tiffanian","","61.7","56.8","3137"
